id,userId,username,assignmentId,attemptNumber,itemNumber,credit,creditOverride,weight,generatedVariant,viewedSolution,viewedSolutionDate,began
30,2CWpWnEp3XaLhGO3iUgG7,NULL,LF3_ONicEdcWgbuSqgxTa,1,1,0,NULL,1,,0,NULL,"2020-11-16 09:02:34"
31,2CWpWnEp3XaLhGO3iUgG7,NULL,LF3_ONicEdcWgbuSqgxTa,1,1,0,NULL,1,,0,NULL,"2020-11-16 09:02:34"
32,2CWpWnEp3XaLhGO3iUgG7,NULL,LF3_ONicEdcWgbuSqgxTa,1,2,0,NULL,1,,0,NULL,"2020-11-16 09:02:34"
33,2CWpWnEp3XaLhGO3iUgG7,NULL,LF3_ONicEdcWgbuSqgxTa,1,2,0,NULL,1,,0,NULL,"2020-11-16 09:02:34"
34,2CWpWnEp3XaLhGO3iUgG7,NULL,LF3_ONicEdcWgbuSqgxTa,1,3,0,NULL,1,,0,NULL,"2020-11-16 09:02:34"
35,2CWpWnEp3XaLhGO3iUgG7,NULL,LF3_ONicEdcWgbuSqgxTa,1,3,0,NULL,1,,0,NULL,"2020-11-16 09:02:34"
36,2CWpWnEp3XaLhGO3iUgG7,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,0,NULL,1,,0,NULL,"2020-11-16 09:06:51"
37,2CWpWnEp3XaLhGO3iUgG7,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,NULL,NULL,1,,0,NULL,"2020-11-16 09:06:51"
38,2CWpWnEp3XaLhGO3iUgG7,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,NULL,NULL,1,,0,NULL,"2020-11-16 09:06:51"
39,keYPyiV1oatzISMEGcIEk,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,1,NULL,1,,0,NULL,"2020-11-16 12:05:45"
40,keYPyiV1oatzISMEGcIEk,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,1,NULL,1,,0,NULL,"2020-11-16 12:05:45"
41,keYPyiV1oatzISMEGcIEk,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,NULL,NULL,1,,0,NULL,"2020-11-16 12:05:45"
42,yrvHR1GZA2wEie7L7lp83,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,NULL,NULL,1,,0,NULL,"2020-11-16 12:05:47"
43,yrvHR1GZA2wEie7L7lp83,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,1,NULL,1,,0,NULL,"2020-11-16 12:05:47"
44,yrvHR1GZA2wEie7L7lp83,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,1,NULL,1,,0,NULL,"2020-11-16 12:05:47"
45,52NtBLyLPwAo55GJ6ZipR,NULL,LF3_ONicEdcWgbuSqgxTa,1,1,1,NULL,1,,0,NULL,"2020-11-16 12:06:03"
46,52NtBLyLPwAo55GJ6ZipR,NULL,LF3_ONicEdcWgbuSqgxTa,1,1,1,NULL,1,,0,NULL,"2020-11-16 12:06:03"
47,52NtBLyLPwAo55GJ6ZipR,NULL,LF3_ONicEdcWgbuSqgxTa,1,2,1,NULL,1,,0,NULL,"2020-11-16 12:06:03"
48,52NtBLyLPwAo55GJ6ZipR,NULL,LF3_ONicEdcWgbuSqgxTa,1,2,1,NULL,1,,0,NULL,"2020-11-16 12:06:03"
49,52NtBLyLPwAo55GJ6ZipR,NULL,LF3_ONicEdcWgbuSqgxTa,1,3,1,NULL,1,,0,NULL,"2020-11-16 12:06:03"
50,52NtBLyLPwAo55GJ6ZipR,NULL,LF3_ONicEdcWgbuSqgxTa,1,3,1,NULL,1,,0,NULL,"2020-11-16 12:06:03"
51,k5N2fdbBdBWgf9OIRi5bz,NULL,LF3_ONicEdcWgbuSqgxTa,1,1,0,NULL,1,,0,NULL,"2020-11-16 12:06:19"
52,k5N2fdbBdBWgf9OIRi5bz,NULL,LF3_ONicEdcWgbuSqgxTa,1,2,1,NULL,1,,0,NULL,"2020-11-16 12:06:19"
53,k5N2fdbBdBWgf9OIRi5bz,NULL,LF3_ONicEdcWgbuSqgxTa,1,3,0.75,NULL,1,,0,NULL,"2020-11-16 12:06:19"
54,Cy0nLzBJ6wtmKoYzOJEkm,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,1,NULL,NULL,1,,0,NULL,"2020-11-16 12:06:24"
55,Cy0nLzBJ6wtmKoYzOJEkm,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,2,NULL,NULL,1,,0,NULL,"2020-11-16 12:06:24"
56,Cy0nLzBJ6wtmKoYzOJEkm,NULL,kXhVAtL0zDjJI7p3ZpUOq,1,3,NULL,NULL,1,,0,NULL,"2020-11-16 12:06:24"
